timestamp,temperature,humidity,pressure,gas
2026-01-26T17:12:27.061231,24.26,23.8,1007.84,29882
2026-01-26T17:27:27.357465,24.32,20.04,1007.83,6623
2026-01-26T17:42:27.653786,24.08,17.93,1007.85,6844
2026-01-26T17:57:27.949952,23.67,16.82,1007.91,7196
2026-01-26T18:12:28.246211,23.56,16.13,1007.98,7462
2026-01-26T18:27:28.542336,23.54,15.69,1008.08,7703
2026-01-26T18:42:28.838485,23.4,15.42,1008.21,7913
2026-01-26T18:57:29.139386,23.17,15.7,1008.4,8096
2026-01-26T19:12:29.389700,23.13,15.55,1008.55,8210
2026-01-26T19:27:29.686172,23.29,15.54,1008.69,8314
2026-01-26T19:42:29.982746,23.21,15.55,1008.82,8462
2026-01-26T19:57:30.279202,22.93,16.1,1008.98,8401
2026-01-26T20:12:30.575634,22.68,14.81,1009.14,8394
2026-01-26T20:27:30.872053,22.51,14.03,1009.27,8545
2026-01-26T20:42:31.168557,22.37,13.88,1009.37,8643
2026-01-26T20:57:31.464938,22.21,13.25,1009.51,8810
2026-01-26T21:12:31.761650,22.01,13.18,1009.65,9030
2026-01-26T21:27:31.978979,21.91,12.45,1009.79,9369
2026-01-26T21:42:32.214202,21.84,12.55,1009.95,9513
2026-01-26T21:57:32.510359,21.76,12.46,1010.11,9654
2026-01-26T22:12:32.806743,21.65,12.58,1010.27,9807
2026-01-26T22:27:33.103371,21.62,12.39,1010.45,10023
2026-01-26T22:42:33.399723,21.6,12.22,1010.61,10042
2026-01-26T22:57:33.696214,21.6,12.44,1010.84,10080
2026-01-26T23:12:33.974462,21.54,12.42,1011.08,10308
2026-01-26T23:27:34.270842,21.47,12.23,1011.33,10526
2026-01-26T23:42:34.489119,21.53,12.29,1011.62,10643
2026-01-26T23:57:34.785939,21.47,12.15,1011.87,10687
2026-01-27T00:12:35.082045,21.35,11.91,1012.16,10774
2026-01-27T00:27:35.289161,21.18,11.95,1012.39,10954
2026-01-27T00:42:35.514400,20.9,12.12,1012.62,11164
2026-01-27T00:57:35.810696,20.71,12.0,1012.86,11395
2026-01-27T01:12:36.107079,20.59,11.85,1013.06,11558
2026-01-27T01:27:36.403470,20.4,11.68,1013.29,11793
2026-01-27T01:42:36.699814,20.18,11.69,1013.49,11880
2026-01-27T01:57:36.996184,19.97,11.67,1013.69,12162
2026-01-27T02:12:37.292980,19.85,11.56,1013.93,12268
2026-01-27T02:27:37.519027,19.77,11.51,1014.16,12450
2026-01-27T02:42:37.815841,19.68,11.62,1014.39,12524
2026-01-27T02:57:38.115112,19.54,11.66,1014.6,12714
2026-01-27T03:12:38.411174,19.41,11.84,1014.79,12941
2026-01-27T03:27:38.620395,19.43,11.4,1014.98,13086
2026-01-27T03:42:38.833623,19.46,11.67,1015.14,13143
2026-01-27T03:57:39.101737,19.6,11.69,1015.32,13192
2026-01-27T04:12:39.398521,19.59,11.73,1015.5,13045
2026-01-27T04:27:39.619058,19.64,11.43,1015.68,13234
2026-01-27T04:42:39.915918,19.72,11.56,1015.82,13326
2026-01-27T04:57:40.212038,20.18,11.44,1016.01,13301
2026-01-27T05:12:40.419012,20.67,12.83,1016.16,13151
2026-01-27T05:27:40.715817,21.31,12.67,1016.33,12957
2026-01-27T05:42:41.008490,21.76,12.83,1016.48,12630
2026-01-27T05:57:41.305248,21.83,11.98,1016.59,12768
2026-01-27T06:12:41.601576,21.67,12.5,1016.71,12973
2026-01-27T06:27:41.897885,21.75,11.71,1016.77,12869
2026-01-27T06:42:42.194217,21.88,11.28,1016.78,13029
2026-01-27T06:57:42.490573,21.81,16.79,1016.85,12435
# Runtime 50415.73s ended 2026-01-27 07:12:42.591454
